Localidad;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;MJ/m2;KW/m2;KW/m2_2
ALAVA;151;200;326;357;406;457;498;476;414;275;179;142;3881;1078;129
ALBACETE;220;306;434;528;584;690;733;639;545;360;274;221;5534;1537;184
ALICANTE;277;349;472;519;635;680;710;620;530;394;321;265;5772;1603;192
ALMERIA;291;354;477;539;636;675;696;618;536;404;328;279;5833;1620;194
ASTURIAS;174;222;307;334;414;419;462;407;361;283;192;162;3737;1038;125
AVILA;197;265;391;485;533;612;721;695;546;326;226;181;5178;1438;173
BADAJOZ;213;289;395;514;600;676;711;653;520;355;269;217;5412;1503;180
BALEARES;235;311;418;446;577;623;666;566;474;350;276;226;5168;1436;172
BARCELONA;211;276;375;441;511;559;593;497;422;313;236;202;4636;1288;155
BURGOS;165;228;361;440;514;592;631;568;484;292;213;157;4645;1290;155
CACERES;223;291;427;538;606;689;772;698;573;367;290;229;5703;1584;190
CADIZ;263;332;456;510;609;653;713;631;525;411;326;257;5686;1579;190
CANTABRIA;163;216;318;358;443;466;505;427;376;276;188;157;3893;1081;130
CASTELLON;261;355;450;479;567;588;657;537;483;380;282;256;5295;1471;177
CEUTA;292;381;539;577;669;735;738;668;555;412;359;298;6223;1729;207
CIUDAD REAL;230;292;434;514;588;652;696;636;547;362;283;226;5460;1517;182
CORDOBA;234;292;438;509;599;711;783;691;578;367;279;239;5720;1589;191
LA CORUÃ‘A;178;231;330;340;422;446;477;420;402;315;209;179;3949;1097;132
CUENCA;194;257;375;477;515;604;703;613;509;324;234;192;4997;1388;167
GERONA;232;304;412;438;513;523;614;507;432;340;255;230;4800;1333;160
GRANADA;255;314;441;508;603;682;733;649;546;375;313;246;5665;1574;189
GUADALAJARA;212;266;406;491;532;624;686;636;515;339;255;193;5155;1432;172
GUIPUZCOA;179;222;328;322;402;447;444;375;370;299;202;175;3765;1046;126
HUELVA;249;328;464;537;662;704;789;702;615;420;300;263;6033;1676;201
HUESCA;199;280;416;514;558;606;635;573;491;327;236;178;5013;1393;167
JAEN;218;294;419;494;559;671;735;663;556;345;265;227;5446;1513;182
LEON;189;253;401;473;537;607;665;574;499;302;227;169;4896;1360;163
LERIDA;195;286;522;516;573;621;654;586;487;350;236;166;5192;1442;173
LUGO;165;220;339;417;470;536;554;505;436;288;201;156;4287;1191;143
MADRID;220;307;394;516;574;645;714;636;491;330;245;206;5278;1466;176
MALAGA;272;347;449;509;639;673;728;638;551;396;303;277;5782;1606;193
MELILLA;308;365;499;559;633;681;681;621;531;413;357;304;5952;1653;198
MURCIA;328;430;482;559;666;702;761;645;539;402;319;282;6115;1699;204
NAVARRA;162;215;357;399;469;519;564;501;469;297;197;157;4306;1196;144
ORENSE;154;211;327;385;446;484;502;455;415;274;183;150;3986;1107;133
PALENCIA;174;261;382;481;540;599;664;593;495;317;216;160;4882;1356;163
LAS PALMAS;366;413;515;540;597;618;667;603;574;439;401;373;6106;1696;204
PONTEVEDRA;178;237;378;432;482;561;604;520;438;328;223;193;4574;1271;152
LA RIOJA;184;255;397;456;529;589;641;570;470;311;222;169;4793;1331;160
SALAMANCA;200;276;392;469;541;625;677;621;508;328;242;181;5060;1406;169
ST.C.TENERIFE;350;385;525;590;707;728;805;731;616;469;352;324;6582;1828;219
SEGOVIA;185;255;389;506;561;621;707;684;545;330;221;177;5181;1439;173
SEVILLA;238;315;419;526;617;667;684;633;520;356;286;240;5501;1528;183
SORIA;193;253;370;471;541;599;663;612;507;322;247;195;4973;1381;166
TARRAGONA;240;310;433;485;555;617;655;564;476;358;287;220;5200;1444;173
TERUEL;199;255;374;458;504;566;600;568;492;320;233;183;4752;1320;158
TOLEDO;202;275;407;530;576;670;748;673;525;346;248;194;5394;1498;180
VALENCIA;248;308;433;497;565;626;655;568;484;349;284;230;5247;1458;175
VALLADOLID;178;254;402;472;548;621;690;632;530;324;226;147;5024;1396;167
VIZCAYA;164;207;313;349;426;460;492;431;381;269;196;162;3850;1069;128
ZAMORA;175;259;383;474;609;593;645;605;500;321;219;160;4943;1373;165
ZARAGOZA;206;286;441;502;598;665;689;644;531;352;243;198;5355;1488;179
